sensor_addr,leaks
00088bb4bab91174,0
01f7e03a9ceae8be,0
022fac5295b1e964,0
0247c9df561b13aa,0
02ce5e0dd1f702b9,0
038d05a43bbede71,13025
03c6d3e48605dfca,0
044db397146b4497,70551
05201eec560e8cb1,0
053339890b5495bf,0
073792da977aafee,0
077874325d8b8890,0
08df3dacecca3c21,0
08ee03539eac110e,0
0920e073d1c8e11e,0
09553b243d11d5e6,0
095e87f276afdf73,0
09ec44255d5569a0,0
0a2363001109dee0,0
0c1b1796cbef42fa,0
0c7d2e5a4b162dfb,0
0cf9cbc5505208d3,0
0cfd433d050437cb,0
0dfad9fef6a858f0,0
0e1f6afeb9cf87f9,35496
12aeba3d1cf0c712,0
12d286c1ce6c1a1a,13186
12f5ca3a1a3cf287,0
1306716cb97ecae3,0
1307f223fee83a7d,0
1371d943f5345ef9,0
13e7918ac6654a4f,0
1413aba04a2dcb89,0
154d11776a050300,0
15d84b1d7e5b2d42,0
15e5fd4b7e31c793,0
162ff567a723ad64,0
16a1a3706b868f11,0
1710495e76035ece,0
177bdc0e1b57097f,0
1a7d25e30b7e3d10,0
1b37996cf0b12ca8,0
1bbb9b6f374a495c,0
1bc81bab78f2b993,0
1bd45ccd458e3942,0
1d268b423c5bbd5e,0
1d4277874a78d840,14437
1facca7f83df65a6,0
2075a3946dbbeeae,0
214b47a012a75b1e,0
21c25d06ae8035ff,0
223a18fc69768fb8,0
22d15ebc9c8da378,13287
22df23e314a79ea2,19338
23071c69b50d1d3a,0
2447174c302813be,0
28526dc2d1f88cea,0
28bed80efc05c63d,0
2961052f9548f406,0
2a868c5b148eac35,0
2aacd6c9a09ee499,0
2b15bae664ae7ab5,0
2b2ff5cddb1e3405,0
2c6aa4527f441c98,0
2ccab06897cfb706,0
2dd665606c7e9338,0
30563e9a4ad67252,0
3153154f6e8e294a,0
31c1080c761da15e,0
32eae3bdf5862593,2561
3413f3a0b9208afb,0
345880e1bffa49b0,0
354ee54efab6627a,0
3603180f0c2fad89,18528
36123dd3ad5a7617,0
3c67b7976ee9b06b,0
3cace3ef00d2b66d,0
3ce4e5ca5d7556ee,0
3d20fa7236508675,0
3d263811b5347cf1,12881
3d48e437086f459d,0
3de3986dc5d46ef8,0
3de6f1d446ee2ac2,0
3efc63c687af8d3d,0
3fce5017f45e42a4,0
3fe52d39e3b2628a,0
408148275a6eb193,13995
40e2555bfc77c8f5,0
41435e376617a1fa,0
415d9553586d0578,0
4188a20dca8c9797,0
42294cd97eebdb3c,0
42d66883f2f7bec0,268465
4486524dd1e9c570,0
451682bba67865ec,0
45d1939ab471075b,0
464567693b59ae40,0
46eca26b7c925d6b,0
472e4789bc1fc023,0
47cb8a984d415f1d,0
48c475266ef00106,0
4a3cac8616a4a385,0
4a5d7d3cb1fe3faa,0
4af4211cb70a4a6b,0
4af5b8e6b7fda466,0
4c490f7bfd0cbf3b,0
4cecf5be7d9b8c5e,0
4f1398fff3da8669,0
4f14cf08eda98c42,0
4f1fc2a18a6d64ef,0
508cd078adddd625,0
5312fbf81e67ec7f,0
553b500bab4da4d7,0
55d92e216075d54c,0
5615b40d85afd390,0
573507c1aafeef3c,0
578f9c72ac05fa55,65414
57bcf5cc479400d5,0
5893161e509a354d,0
58a3f3e780cbc7be,0
593ba70ec4d6c774,0
59e6f215cc54f852,0
5a646dea6d9534ef,0
5ab348fd30665ead,0
5c0ce6297f13f98d,12753
5d19f1b5bfd2bf41,0
60150bb14b7a92d9,0
61cecb9dd91606ec,0
62c3b85d6a5bddec,0
62c8b9cc20a8de14,0
64303f43fa43f6b2,0
65120fc3fc3bfe69,0
65878e3fb8ba59a4,0
67dc14e8f9aea40c,0
6802e245fceae1d3,0
680f6efe9728c6b7,0
68993882ad75505c,0
69c8992bfbe913ed,0
6b9a8c8638ae9fde,0
6c87ffea562bbd97,0
6de6f6528676791b,0
6f203e7a889dfbf7,0
7373d744671b8fb9,0
73e78b1b74f1123d,0
75e9b3aee1521a58,0
76082d476c2b2aa6,11035
766d47dd23c829a0,0
7756ba064b4350fc,0
77bb243be3da5840,0
797bf53d6cc20421,0
799cfb210cac767f,0
7cd75aae8ec7e779,0
7d0b8c780cd259df,0
7d816b1fef2a1d58,0
7d8aa396190cc231,13607
7de50d6cc939c7ae,6180
7de8b8593d784cb6,0
7e374b54d239b74d,0
7ea402ac9bf01d9b,22729
7f50c324037693c8,0
7f64ac22f59bdfdb,0
80d332b5fe2a5fb7,47703
81e163f6482a5644,0
81ef13fa21a02203,0
822d7a8fd09b1d81,0
82e8bb1f51f617f6,0
831ae5c293e8b470,0
83e824bbd1c72ab5,0
848852585aab05c7,0
87c95dd6cefac814,0
886376736d1e875f,0
891f1524aa66a1a3,0
8d2e24b837c600a6,0
8d5d3e8aa35a9688,0
8d9cbe741e6b9a1d,0
8e17722557ce39db,0
8e6cacfaa80e92b9,0
8ead8469aa446ffe,0
910bbfc6bf50ab7d,0
9409f4211f3c3dc1,0
940c90ab29d0ab5e,0
941623a37b534078,0
94866dbf649ddbe2,0
9516962dc632262d,0
9633195cf6cad2ac,0
968954c9d4724b6d,0
99505a7f3ed78f2e,0
9a0a97c9082f2f8b,0
9a4516a54eb8e0e7,0
9a5d363fb7b63240,0
9aa0618acfeafb72,0
9b28cca9feba64ae,0
9bc9a91035b3f145,0
9e48c001426930be,0
9e9767a168d29ee4,0
9eeeb6244d7212d0,0
9ff343e7cc381f85,0
a01a40fab3ccf88c,0
a09c70b1ef3d7be7,0
a2b5051c78ab6c68,13733
a367606828d1af62,0
a3a67f49cf7cf774,0
a5381c195358299b,0
a5ebdef168bd7bfd,0
a70bc054649a9863,0
a89fd9b2cd1b0396,0
a8c644e8217d3da3,0
a91b1610c74b32b7,0
aa482c1581c0eb78,0
aa7e88c0710cf828,0
ab1307d450c74e40,0
aca5362c947a6157,0
b10acb114aa20f12,0
b36abcc2ee2537b9,0
b38481503de61d97,0
b41a2276f35c1fea,0
b54308b126db2777,0
b79c268d02788154,0
b7c62a7bece81930,0
b7ef004a0db543d8,75227
b82a71688ab927f0,0
b91a933fb5bbc8aa,0
b9c6eb257f6ea26f,0
ba741c62edcd4b59,0
bae1fd52d4d89da7,0
bc801acf688dc941,0
bcfaa14f4e22d6ee,0
bdc7faa2a074772f,0
bdc945d0bfabd1b2,0
bdcbb2450902efb0,10451
be682d9bf9a8228d,0
bf1a6a26d37014b7,0
bf74ef119d6d6ce2,0
bf7ce59ed835afa1,0
c06edb6474fa69d4,0
c1434a4bcbb7bdd2,0
c24689e8dab74e5a,0
c3bf25c8d5173f46,0
c433d12322bfb6fd,0
c4df41c5dfba3faf,0
c57693240f3aaca1,0
c5c03f3a47823b98,0
ca62adbe188c2014,0
cae8c21d2185e6a3,0
cc29263a54888e9b,0
ce06f6db9c39bfd5,0
ce43fba256131682,0
ceb1f91dd374eb17,0
cf61173d8e3e8c3e,0
cfa90ead5893ac6d,33557
cfcce30b2cfcde46,0
d006e7ad7e9e7c41,3488
d0d8ffb1022c7ced,0
d15fa2cc04a41cc5,11183
d2c802ce37245adc,0
d30452a6e7c2d625,0
d3f87c0ad2637025,0
d4b631bff3626daf,0
d4d7473283e20cd0,0
d557cd3cb47da0e6,0
d6084e0347b2a862,0
d62adbc2472a9fb4,0
d6e14d416ca13237,0
d6e7326773d920d1,0
d8092bf1db91e704,0
d9cfddd8671111ad,0
da60cbf25064adeb,0
da8ae695e01fdad2,0
da9a8afbc811f5d5,0
db16b6ef64902d2b,0
db657a0f8472e228,0
db83cc0072273b54,0
dbc068a107eb5ad2,4974
ddafa30f9e5437ba,0
de08ea74baee4d6d,0
de5b97aed9ca1e79,0
df84d1cf9563ed6c,0
dfb0f800717d2df4,0
dfcce7347c4c3438,0
e155d09a92bf0e0e,0
e15e1f6ffa2c31c3,0
e1e3753544c5083b,0
e273b5c71c557227,26862
e3a54e9f6e90b54f,0
e3d770f686d2eb3b,0
e4996f9b9abb53ba,0
e4ecf80be315c93b,0
e5b2cc40fa2a4593,0
e7ac52b88205f83c,0
e7c287855291522e,0
e7d78c56623fb7c1,0
e85f517b05f453d1,0
e9ce1c05b3883cc1,0
ea2816582f81d4d4,0
ea72834d5cd15ee6,0
eb272967f6fca353,0
eb8018d84f90b132,0
eca1806f5d360502,0
edd864ce19ea3f0e,0
ef96ba63601bf1b6,0
f00f83931da333f1,0
f0734cfb63d34c95,0
f10044407c6f4b3b,0
f242398ff43a12c3,0
f38a8665b69dd182,0
f3aa4f9c8aff8e44,0
f3d1627b4490039a,10070
f4379dcfeddb3c3b,0
f4430eefa32234e2,0
f53b0e0abd701380,5707
f5a7908a07b6c9ad,0
f622ef8df788347f,0
f6b006492ef3328d,0
f6e7a4920ebec359,0
f76c96b44a5be2af,0
f801ad4189fe3542,0
f8d8d3d87ad6f961,0
f8ee7032fb52d72d,0
f952315de2fa5984,0
fa94e727ee7ad083,26922
fb3d0da9c3414e55,0
fb8317a20363a237,0
fc00d1000cc185ba,0
fd7f51b1d9c19af5,0
ff2391ce4ae36c57,0
ffaf653d378be43a,0
ffbc98e7187b81a6,0
